ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,P_TOTAL
30,Veracruz de Ignacio de la Llave,46,Cosautlán de Carvajal,14,Emiliano Zapata,-9658280,1918010,963
21,Puebla,116,Quimixtlán,18,Quiliayo,-9707330,1918020,297
15,México,51,Lerma,67,Colonia Isidro Fabela,-9931220,1918020,1478
16,Michoacán de Ocampo,83,Tancítaro,61,Zirimbo,-10219080,1918030,766
15,México,51,Lerma,18,San José el Llanito,-9928430,1918040,1333
15,México,32,Donato Guerra,9,San Antonio de la Laguna,-10004220,1918040,1436
15,México,118,Zinacantepec,59,Ejido San Lorenzo Cuauhtenco,-9945010,1918050,8024
15,México,41,Ixtapan del Oro,4,Miahuatlán de Hidalgo (Santa Cruz Miahuatlán),-10017340,1918060,982
15,México,39,Ixtapaluca,99,El Jaral (El Capulín),-9853060,1918070,315
16,Michoacán de Ocampo,46,Juárez,3,Buenavista de Zapata (El Atorón),-10026580,1918070,492
6,Colima,8,Minatitlán,48,Paticajo,-10409120,1918070,718
29,Tlaxcala,18,Contla de Juan Cuamatzi,8,Ocotlán Tepatlaxco,-9807110,1918080,675
15,México,114,Villa Victoria,30,San Luis el Alto,-9955110,1918080,874
15,México,39,Ixtapaluca,3,San Buenaventura,-9851470,1918090,44761
15,México,32,Donato Guerra,4,Cabecera de Indígenas Segundo Cuartel,-10009000,1918090,1782
15,México,5,Almoloya de Juárez,65,La Lima,-9952460,1918120,439
15,México,5,Almoloya de Juárez,163,La Posta,-9953240,1918120,336
